Image,Latitude,Longitude,Altitude,Time
Photo copy 3.jpg,52.05867909972222,-1.3410732997222221,165.3724975,2024:01:20 09:26:28
Photo copy 2.jpg,52.05867909972222,-1.3410732997222221,165.3724975,2024:01:20 09:26:28
Photo copy 4.jpg,52.05867909972222,-1.3410732997222221,165.3724975,2024:01:20 09:26:28
Photo.jpg,52.05867909972222,-1.3410732997222221,165.3724975,2024:01:20 09:26:28
Photo copy.jpg,52.05867909972222,-1.3410732997222221,165.3724975,2024:01:20 09:26:28
